nsim,Total Unique Elements Sampled
81001,25531.5
81101,25556.5
81201,25536.25
81301,25519.0
81401,25558.5
81501,25525.0
81601,25555.75
81701,25568.0
81801,25560.75
81901,25596.75
82001,25590.25
82101,25551.5
82201,25556.0
82301,25594.75
82401,25584.5
82501,25562.0
82601,25615.5
82701,25602.0
82801,25594.75
82901,25616.75
83001,25624.0
83101,25627.5
83201,25622.25
83301,25635.75
83401,25613.25
83501,25637.5
83601,25638.75
83701,25647.25
83801,25660.25
83901,25633.0
84001,25620.0
84101,25666.0
84201,25684.5
84301,25708.0
84401,25678.5
84501,25675.25
84601,25686.75
84701,25703.25
84801,25670.0
84901,25698.25
85001,25685.25
85101,25697.25
85201,25729.75
85301,25718.25
85401,25717.5
85501,25715.5
85601,25745.0
85701,25735.0
85801,25754.25
85901,25733.75
86001,25751.75
86101,25750.75
86201,25753.5
86301,25777.75
86401,25735.5
86501,25764.75
86601,25759.0
86701,25759.25
86801,25778.5
86901,25764.25
87001,25766.5
87101,25792.25
87201,25774.75
87301,25779.5
87401,25803.25
87501,25773.25
87601,25789.75
87701,25796.5
87801,25830.25
87901,25835.25
88001,25809.0
88101,25810.0
88201,25814.0
88301,25798.5
88401,25827.0
88501,25859.0
88601,25853.5
88701,25851.25
88801,25867.75
88901,25824.5
89001,25855.5
89101,25855.75
89201,25861.25
89301,25865.25
89401,25867.75
89501,25886.5
89601,25866.0
89701,25878.0
89801,25885.5
89901,25911.5
90001,25914.0
90101,25896.25
90201,25918.75
90301,25891.5
90401,25903.25
90501,25889.0
90601,25904.5
90701,25929.75
90801,25926.25
90901,25931.0
91001,25925.0
91101,25954.0
91201,25939.75
91301,25953.0
91401,25909.0
91501,25934.75
91601,25947.75
91701,25940.0
91801,25938.75
91901,25964.0
92001,25969.75
92101,25976.0
92201,25945.5
92301,25998.25
92401,25969.75
92501,25981.0
92601,25978.5
92701,25987.5
92801,25978.75
92901,25983.25
93001,25985.25
93101,25996.75
93201,25976.25
93301,25994.25
93401,25994.0
93501,25983.0
93601,26019.25
93701,25968.5
93801,26003.5
93901,26036.0
94001,26034.75
94101,26001.0
94201,26030.5
94301,26021.0
94401,26030.25
94501,26037.5
94601,26042.25
94701,26034.25
94801,26063.0
94901,26043.25
95001,26031.75
95101,26060.25
95201,26075.25
95301,26071.0
95401,26066.0
95501,26072.0
95601,26079.75
95701,26063.25
95801,26074.5
95901,26066.5
96001,26080.0
96101,26099.75
96201,26082.75
96301,26090.5
96401,26108.5
96501,26109.25
96601,26093.0
96701,26111.25
96801,26092.75
96901,26117.25
97001,26116.0
97101,26107.25
97201,26130.25
97301,26112.25
97401,26098.5
97501,26105.25
97601,26107.5
97701,26123.25
97801,26135.25
97901,26106.25
98001,26132.25
98101,26158.25
98201,26129.0
98301,26138.75
98401,26128.5
98501,26173.25
98601,26125.75
98701,26152.0
98801,26144.25
98901,26144.25
99001,26177.5
99101,26151.75
99201,26169.25
99301,26165.5
99401,26124.75
99501,26156.5
99601,26172.75
99701,26199.25
99801,26178.5
99901,26180.5
100001,26180.0
100101,26166.0
100201,26188.25
100301,26197.25
100401,26201.5
100501,26203.25
100601,26204.5
100701,26209.25
100801,26213.75
100901,26185.25
101001,26194.5
101101,26210.75
101201,26212.75
101301,26198.5
101401,26232.5
101501,26219.75
101601,26203.75
101701,26195.0
101801,26211.75
101901,26219.75
102001,26229.5
102101,26228.75
102201,26231.75
102301,26242.5
102401,26235.0
102501,26232.0
102601,26263.5
102701,26264.25
102801,26249.0
102901,26257.0
103001,26259.75
103101,26254.75
103201,26264.5
103301,26259.25
103401,26239.75
103501,26248.0
103601,26274.0
103701,26264.0
103801,26260.5
103901,26271.5
104001,26279.75
104101,26285.75
104201,26275.0
104301,26259.0
104401,26299.25
104501,26281.5
104601,26277.25
104701,26289.5
104801,26289.5
104901,26283.5
105001,26276.25
105101,26317.5
105201,26301.25
105301,26300.75
105401,26304.5
105501,26317.5
105601,26315.5
105701,26326.75
105801,26285.25
105901,26305.0
106001,26302.25
106101,26317.0
106201,26320.75
106301,26298.5
106401,26323.5
106501,26332.25
106601,26319.0
106701,26323.75
106801,26342.0
106901,26328.0
107001,26323.5
107101,26355.75
107201,26334.75
107301,26332.0
107401,26332.5
107501,26346.25
107601,26329.75
107701,26342.75
107801,26352.5
107901,26320.0
108001,26332.5
108101,26341.25
108201,26358.25
108301,26368.75
108401,26338.75
108501,26368.75
108601,26363.75
108701,26372.75
108801,26355.5
108901,26369.5
109001,26376.25
109101,26379.75
109201,26367.25
109301,26379.25
109401,26379.75
109501,26381.5
109601,26367.0
109701,26394.25
109801,26365.5
109901,26397.25
110001,26385.25
110101,26398.5
110201,26374.5
110301,26385.25
110401,26398.75
110501,26373.75
110601,26391.25
110701,26390.75
110801,26387.5
110901,26398.0
111001,26416.5
111101,26406.75
111201,26393.0
111301,26420.5
111401,26408.75
111501,26420.25
111601,26408.25
111701,26411.25
111801,26420.25
111901,26421.25
112001,26431.0
112101,26418.25
112201,26432.25
112301,26422.5
112401,26425.5
112501,26425.75
112601,26420.75
112701,26435.25
112801,26430.0
112901,26438.5
113001,26437.75
113101,26438.75
113201,26447.25
113301,26433.0
113401,26410.25
113501,26450.5
113601,26427.0
113701,26446.75
113801,26450.75
113901,26438.75
114001,26452.25
114101,26439.25
114201,26448.5
114301,26460.75
114401,26447.0
114501,26447.25
114601,26437.25
114701,26452.25
114801,26457.25
114901,26446.5
115001,26467.0
115101,26457.25
115201,26467.0
115301,26478.5
115401,26471.5
115501,26464.25
115601,26451.0
115701,26471.25
115801,26469.25
115901,26475.75
116001,26478.5
116101,26476.5
116201,26489.25
116301,26473.75
116401,26468.25
116501,26484.25
116601,26471.0
116701,26482.0
116801,26493.0
116901,26471.0
117001,26498.0
117101,26487.75
117201,26500.0
117301,26497.0
117401,26492.75
117501,26485.25
117601,26491.5
117701,26505.25
117801,26503.5
117901,26492.0
118001,26506.5
118101,26497.5
118201,26505.5
118301,26515.75
118401,26501.0
118501,26508.75
118601,26512.25
118701,26519.0
118801,26501.25
118901,26500.25
119001,26495.0
119101,26521.75
119201,26513.25
119301,26510.25
119401,26508.75
119501,26517.25
119601,26526.75
119701,26526.5
119801,26528.5
119901,26524.0
120001,26522.5
120101,26536.5
120201,26513.0
120301,26528.0
120401,26530.25
120501,26522.25
120601,26531.75
120701,26541.5
120801,26533.5
120901,26535.75
121001,26542.25
121101,26536.0
121201,26537.75
121301,26537.75
121401,26546.5
121501,26531.25
121601,26525.75
121701,26550.25
121801,26551.25
121901,26534.75
122001,26540.25
122101,26536.25
122201,26545.0
122301,26540.5
122401,26553.5
122501,26545.75
122601,26571.0
122701,26541.0
122801,26551.75
122901,26547.75
123001,26557.0
123101,26552.5
123201,26549.75
123301,26562.75
123401,26574.25
123501,26558.0
123601,26573.5
123701,26562.25
123801,26573.25
123901,26572.0
124001,26560.5
124101,26561.5
124201,26566.0
124301,26564.25
124401,26591.0
124501,26573.25
124601,26573.75
124701,26574.75
124801,26564.0
124901,26571.75
125001,26581.25
125101,26573.75
125201,26587.5
125301,26567.0
125401,26576.5
125501,26576.75
125601,26583.5
125701,26574.0
125801,26582.0
125901,26575.75
126001,26587.0
126101,26584.5
126201,26602.25
126301,26579.5
126401,26589.5
126501,26594.0
126601,26589.25
126701,26607.0
126801,26601.75
126901,26598.25
127001,26591.5
127101,26601.0
127201,26593.75
127301,26600.5
127401,26598.0
127501,26603.0
127601,26594.5
127701,26601.25
127801,26600.25
127901,26608.0
128001,26593.75
128101,26606.75
128201,26603.25
128301,26619.0
128401,26599.25
128501,26597.0
128601,26613.25
128701,26611.5
128801,26607.5
128901,26605.75
129001,26617.0
129101,26600.75
129201,26610.75
129301,26616.0
129401,26615.5
129501,26608.75
129601,26609.75
129701,26608.75
129801,26629.5
129901,26606.0
130001,26618.5
130101,26631.75
130201,26624.5
130301,26626.25
130401,26624.0
130501,26627.5
130601,26614.0
130701,26623.75
130801,26630.75
130901,26635.0
131001,26628.0
131101,26628.25
131201,26625.25
131301,26642.0
131401,26635.25
131501,26627.25
131601,26623.75
131701,26623.0
131801,26638.25
131901,26635.25
132001,26628.75
132101,26645.5
132201,26642.5
132301,26628.75
132401,26638.0
132501,26637.5
132601,26640.25
132701,26635.5
132801,26635.0
132901,26633.75
133001,26644.0
133101,26637.25
133201,26647.75
133301,26649.25
133401,26645.25
133501,26641.75
133601,26641.25
133701,26645.0
133801,26648.5
133901,26650.0
134001,26661.25
134101,26651.25
134201,26652.0
134301,26643.5
134401,26654.0
134501,26643.5
134601,26649.75
134701,26652.5
134801,26667.5
134901,26663.25
135001,26648.25
135101,26663.25
135201,26662.5
135301,26651.75
135401,26650.25
135501,26665.75
135601,26653.75
135701,26657.25
135801,26668.25
135901,26664.0
136001,26676.25
136101,26659.75
136201,26660.75
136301,26667.0
136401,26671.75
136501,26674.0
136601,26664.5
136701,26667.0
136801,26656.25
136901,26669.0
137001,26669.5
137101,26673.25
137201,26672.0
137301,26664.5
137401,26668.75
137501,26676.0
137601,26670.25
137701,26664.5
137801,26668.5
137901,26668.0
138001,26660.75
138101,26673.5
138201,26672.75
138301,26675.5
138401,26680.75
138501,26679.75
138601,26663.0
138701,26673.5
138801,26681.25
138901,26680.0
139001,26675.5
139101,26679.75
139201,26691.75
139301,26686.25
139401,26682.25
139501,26674.5
139601,26674.25
139701,26685.0
139801,26688.0
139901,26687.5
140001,26677.0
140101,26695.25
140201,26689.75
140301,26683.5
140401,26688.25
140501,26679.25
140601,26693.25
140701,26684.5
140801,26691.25
140901,26690.0
141001,26682.25
141101,26689.5
141201,26697.25
141301,26684.5
141401,26700.25
141501,26683.75
141601,26685.5
141701,26690.25
141801,26692.0
141901,26698.0
142001,26690.5
142101,26691.0
142201,26710.5
142301,26703.5
142401,26683.5
142501,26699.0
142601,26694.75
142701,26703.25
142801,26704.0
142901,26699.5
143001,26701.25
143101,26691.0
143201,26705.75
143301,26696.5
143401,26704.5
143501,26703.25
143601,26698.75
143701,26711.75
143801,26700.5
143901,26704.5
144001,26703.5
144101,26708.0
144201,26702.75
144301,26700.0
144401,26706.0
144501,26711.25
144601,26700.0
144701,26698.25
144801,26713.75
144901,26702.0
145001,26712.0
145101,26722.0
145201,26708.0
145301,26709.0
145401,26707.5
145501,26719.25
145601,26715.25
145701,26720.25
145801,26720.25
145901,26712.5
146001,26719.0
146101,26704.25
146201,26717.25
146301,26713.0
146401,26714.25
146501,26715.0
146601,26707.25
146701,26709.25
146801,26724.25
146901,26721.0
147001,26711.0
147101,26714.75
147201,26712.75
147301,26711.75
147401,26719.0
147501,26725.75
147601,26721.0
147701,26723.5
147801,26728.75
147901,26722.75
148001,26722.75
148101,26718.0
148201,26725.75
148301,26726.0
148401,26727.25
148501,26720.5
148601,26724.0
148701,26727.0
148801,26721.25
148901,26727.75
149001,26728.75
149101,26731.75
149201,26732.75
149301,26728.25
149401,26728.25
149501,26724.0
149601,26724.5
149701,26728.0
149801,26726.75
149901,26728.25
150001,26727.75
150101,26731.25
150201,26728.0
150301,26726.0
150401,26735.5
150501,26727.0
150601,26726.0
150701,26735.75
150801,26731.75
150901,26730.5
151001,26729.75
151101,26742.5
151201,26738.0
151301,26736.75
151401,26743.25
151501,26735.25
151601,26738.5
151701,26738.25
151801,26733.75
151901,26733.25
152001,26739.75
152101,26733.5
152201,26731.5
152301,26734.75
152401,26742.25
152501,26733.5
152601,26730.0
152701,26737.75
152801,26745.25
152901,26742.0
153001,26738.0
153101,26736.0
153201,26738.75
153301,26742.75
153401,26745.5
153501,26734.5
153601,26740.25
153701,26745.25
153801,26747.0
153901,26738.5
154001,26737.5
154101,26745.75
154201,26741.75
154301,26733.75
154401,26740.25
154501,26749.25
154601,26749.5
154701,26748.0
154801,26745.25
154901,26743.5
155001,26744.25
155101,26751.25
155201,26745.25
155301,26750.75
155401,26754.25
155501,26752.25
155601,26748.0
155701,26757.5
155801,26740.5
155901,26746.75
156001,26749.0
156101,26747.0
156201,26746.5
156301,26747.5
156401,26752.25
156501,26750.5
156601,26759.75
156701,26753.25
156801,26745.0
156901,26752.75
157001,26749.5
157101,26753.25
157201,26751.25
157301,26757.5
157401,26754.5
157501,26757.0
157601,26751.75
157701,26756.25
157801,26760.0
157901,26762.25
158001,26754.25
158101,26759.25
158201,26754.0
158301,26758.25
158401,26752.5
158501,26763.75
158601,26758.75
158701,26753.0
158801,26759.25
158901,26755.0
159001,26757.25
159101,26751.5
159201,26758.0
159301,26762.0
159401,26755.0
159501,26764.5
159601,26761.0
159701,26758.75
159801,26760.75
159901,26765.75
160001,26758.0
160101,26761.0
160201,26751.75
160301,26757.75
160401,26763.75
160501,26768.25
160601,26765.0
160701,26762.0
160801,26760.25
160901,26763.0
161001,26757.5
161101,26768.0
161201,26760.25
161301,26762.25
161401,26769.25
161501,26769.0
161601,26758.75
161701,26764.75
161801,26768.25
161901,26770.25
162001,26765.25
162101,26770.5
162201,26761.5
162301,26760.75
162401,26769.25
162501,26759.5
162601,26768.75
162701,26775.0
162801,26770.75
162901,26760.5
163001,26772.5
163101,26765.25
163201,26766.75
163301,26766.5
163401,26770.25
163501,26768.25
163601,26764.25
163701,26769.25
163801,26764.25
163901,26774.0
164001,26775.75
164101,26771.5
164201,26771.0
164301,26768.25
164401,26769.75
164501,26768.75
164601,26773.75
164701,26770.75
164801,26775.25
164901,26780.0
165001,26770.25
165101,26773.75
165201,26773.5
165301,26769.0
165401,26777.0
165501,26780.0
165601,26781.5
165701,26773.25
165801,26780.75
165901,26776.5
166001,26771.5
166101,26768.75
166201,26775.5
166301,26776.75
166401,26770.5
166501,26775.75
166601,26778.0
166701,26780.25
166801,26776.5
166901,26777.25
167001,26773.25
167101,26776.0
167201,26772.75
167301,26775.75
167401,26781.0
167501,26779.75
167601,26778.75
167701,26787.0
167801,26788.75
167901,26783.75
168001,26778.5
168101,26778.0
168201,26779.25
168301,26785.25
168401,26781.25
168501,26780.0
168601,26784.25
168701,26780.25
168801,26778.75
168901,26778.0
169001,26775.25
169101,26780.0
169201,26781.0
169301,26787.25
169401,26789.25
169501,26785.75
169601,26782.75
169701,26777.75
169801,26786.25
169901,26787.25
170001,26786.5
170101,26779.25
170201,26783.0
170301,26781.25
170401,26784.75
170501,26785.0
170601,26776.0
170701,26785.5
170801,26783.0
170901,26784.0
171001,26780.75
171101,26787.5
171201,26779.25
171301,26781.25
171401,26784.5
171501,26785.0
171601,26792.5
171701,26783.5
171801,26784.75
171901,26782.25
172001,26789.75
172101,26785.75
172201,26789.25
172301,26787.5
172401,26784.5
172501,26791.0
172601,26794.0
172701,26786.75
172801,26780.0
172901,26789.0
173001,26791.0
173101,26787.0
173201,26794.75
173301,26788.0
173401,26788.75
173501,26775.25
173601,26788.0
173701,26787.0
173801,26784.0
173901,26785.75
174001,26786.75
174101,26791.0
174201,26786.75
174301,26790.75
174401,26787.5
174501,26790.25
